,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
0,DecisionTreeClassifier,adult,0,26048,6513,0.10537,42,0.9995777027027029,0.7875019192384461,0.9991218967031212,0.5647798742138365,0.99912266709204,0.7137756055809699,,,,,
1,RandomForestClassifier,adult,0,26048,6513,0.087283,42,0.8503915847665847,0.8294180869031168,0.6344620579682956,0.5793260128739114,0.7442078603921878,0.7125576072464239,5.0,10.0,,,
2,RandomForestClassifier,adult,0,26048,6513,2.493777,42,0.999539312039312,0.8269614616920006,0.9990429095549528,0.6096293730516107,0.9993697787574553,0.7358787895641855,,,,,
3,GradientBoostingClassifier,adult,0,26048,6513,2.102144,42,0.8490479115479116,0.8383233532934131,0.645957140284531,0.6221743810548978,0.7544911146942256,0.7405478153663612,,,,,
4,LGBMClassifier,adult,0,26048,6513,308.169476,42,0.8657478501228502,0.8417012129586979,0.6946651532349603,0.6416405978449774,0.7867886025088313,0.7549189211319525,,,,,
5,CatBoostClassifier,adult,0,26048,6513,264.335888,42,0.8625230343980343,0.8429295255642562,0.687875882506755,0.6439262095370692,0.7829218358151884,0.7561622179890649,,,,,
6,DecisionLatticeClassifier,adult,0,26048,6513,88.365498,42,0.855152027027027,0.8281897742975587,0.6661357401999823,0.5982046678635548,0.7681531706986059,0.7264953551140094,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
7,DecisionLatticeClassifier,adult,0,26048,6513,102.397595,42,0.7593289312039312,0.7586365730078305,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
8,DecisionLatticeClassifier,adult,0,26048,6513,281.290562,42,0.8633292383292384,0.8320282511899278,0.6846767050487157,0.6039102099927589,0.7790399676514818,0.7292420794381334,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
9,DecisionLatticeClassifier,adult,0,26048,6513,301.33065000000005,42,0.7593289312039312,0.7586365730078305,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
10,DecisionTreeClassifier,adult,1,26049,6512,0.10140700000000001,42,0.9995393297247496,0.7764127764127764,0.9990465596694741,0.54242614707731,0.9990474678520401,0.7016623737235345,,,,,
11,RandomForestClassifier,adult,1,26049,6512,0.089267,42,0.8547736957272832,0.8378378378378378,0.6643002928387611,0.6198704103671706,0.7660473613452808,0.7414565212285386,5.0,10.0,,,
12,RandomForestClassifier,adult,1,26049,6512,2.45683,42,0.9995393297247496,0.8249385749385749,0.9990477701952072,0.6022330774598743,0.9994799576384436,0.7334531181903353,,,,,
13,GradientBoostingClassifier,adult,1,26049,6512,2.130213,42,0.84863142539061,0.8424447174447175,0.6477262574823551,0.6219602063375093,0.7556175040844337,0.740672569789685,,,,,
14,LGBMClassifier,adult,1,26049,6512,114.113455,42,0.8654075012476486,0.847051597051597,0.6967652655249957,0.6458036984352775,0.7884674682137612,0.7580043164303591,,,,,
15,CatBoostClassifier,adult,1,26049,6512,235.409464,42,0.8624515336481247,0.8452088452088452,0.6926310371450631,0.6425531914893619,0.7870046521348577,0.7563497717824457,,,,,
