,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_mse_train,metric_mse_test,metric_mae_train,metric_mae_test,metric_r2_train,metric_r2_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo,metric_wape_train,metric_wape_test
0,DecisionTreeRegressor,calhouse,0,16512,4128,0.151587,42,1.051527890256448e-31,0.7936548898731832,4.8679837077798767e-17,0.6238267078488373,1.0,0.26121624771117924,,,,,,2.2485637211601222e-17,0.37064817486877666
1,RandomForestRegressor,calhouse,0,16512,4128,0.277177,42,0.20199040332719945,0.5990355061826033,0.3110937099373897,0.5806835774338351,0.8503144872073214,0.4423801772549625,5.0,10.0,,,,0.14369687164901165,0.345014577677037
2,RandomForestRegressor,calhouse,0,16512,4128,9.033681,42,0.03465074850688099,0.521694217254198,0.12038634143653144,0.5438268413032944,0.974321972858776,0.5143743001041409,,,,,,0.05560749092992254,0.32311605713194474
3,GradientBoostingRegressor,calhouse,0,16512,4128,2.807599,42,0.2649648497560797,0.4271196074508508,0.36133070191614136,0.5233288100406199,0.8036471101870752,0.6024102789575343,,,,,,0.16690177215907329,0.31093710137336183
4,LGBMRegressor,calhouse,0,16512,4128,200.734206,42,0.16278756298592578,0.37061074798203103,0.2791399074829202,0.4468974114990952,0.8793658538205533,0.655012269783304,,,,,,0.128937134298739,0.26552519768976895
5,CatBoostRegressor,calhouse,0,16512,4128,51.251361,42,0.17204850052977574,0.35106921283496306,0.28704447365783003,0.4590227436069424,0.8725030120104569,0.6732027564112406,,,,,,0.1325883216895279,0.2727294936246913
6,DecisionLatticeRegressor,calhouse,0,16512,4128,100.781608,42,0.1859493867904162,0.5046580773646562,0.2970264515091435,0.5443279792171125,0.8622017241575578,0.5302326076792685,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.1371990834770039,0.32341380945767434
7,DecisionLatticeRegressor,calhouse,0,16512,4128,105.049119,42,1.1495219270125443,1.3440780570809592,0.8934811606483458,1.0127819140525929,0.14814379160096106,-0.2511521607811247,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.412706665423531,0.6017468685785435
8,DecisionLatticeRegressor,calhouse,0,16512,4128,364.855906,42,0.17235476926023435,0.5154709942722142,0.2821244823359486,0.5490470047009766,0.8722760507726164,0.5201672663979597,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.13031573520220568,0.3262176300712305
9,DecisionLatticeRegressor,calhouse,0,16512,4128,373.568852,42,1.1510011140829803,1.3675884095399788,0.8989857738160933,1.0209835543885328,0.1470476361821521,-0.27303707150105083,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.4152492937910492,0.6066198933836676
10,DecisionTreeRegressor,calhouse,1,16512,4128,0.14865699999999998,42,8.265076102424602e-32,0.7535319274674176,3.711501390462005e-17,0.5847280886627908,1.0,0.35626545313830416,,,,,,1.823949210110044e-17,0.2653865990573419
11,RandomForestRegressor,calhouse,1,16512,4128,0.279613,42,0.18480392893874115,0.4104915615485812,0.2945337455066803,0.4479328160094255,0.8647237966810873,0.6493212965081008,5.0,10.0,,,,0.14474320118759007,0.2033002500679837
12,RandomForestRegressor,calhouse,1,16512,4128,8.920877,42,0.03376202403794666,0.34607256204736714,0.11796741376574647,0.4090740785125971,0.9752862482175408,0.7043537827792162,,,,,,0.05797291945240905,0.18566369662050167
13,GradientBoostingRegressor,calhouse,1,16512,4128,2.865391,42,0.248967216166714,0.35260410053676233,0.34544941320213546,0.4236811296513445,0.8177563650982976,0.6987739568733493,,,,,,0.16976477119535202,0.19229330053235416
14,LGBMRegressor,calhouse,1,16512,4128,230.894442,42,0.15138950447411414,0.34827347402157743,0.2690853954209739,0.4073905957454964,0.8891831060887335,0.7024735663998486,,,,,,0.1322370768044196,0.1848996256364068
15,CatBoostRegressor,calhouse,1,16512,4128,54.946294,42,0.1538968563987976,0.3287293280364502,0.2693874489231877,0.4002232623908471,0.8873477281792737,0.7191699285590734,,,,,,0.1323855154519679,0.18164663632362973
16,DecisionLatticeRegressor,calhouse,1,16512,4128,135.77111399999998,42,0.17060613954369286,0.4318177183896798,0.2831689160647408,0.4724623116458488,0.8751165575704962,0.6311025808704682,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.13915816443213286,0.2144332870295387
17,DecisionLatticeRegressor,calhouse,1,16512,4128,139.81866200000002,42,1.2903512607132412,1.0083425380397313,0.9729594765456742,0.8438309220170424,0.055464780973780825,0.1385833789578269,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.47814306988408806,0.3829838567968464
18,DecisionLatticeRegressor,calhouse,1,16512,4128,386.750476,42,0.1494615160331971,0.4063550901168208,0.2621140282544459,0.4461395061725069,0.8905943907828834,0.6528550413511098,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.12881112641424797,0.20248633261147106
19,DecisionLatticeRegressor,calhouse,1,16512,4128,395.706669,42,1.2079911789517217,0.9412962603362236,0.9341721072657194,0.8032879345978048,0.11575223930713008,0.19586032187554706,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.4590817294405072,0.36458288418165696
20,DecisionTreeRegressor,calhouse,2,16512,4128,0.147281,42,6.903488420811298e-32,0.8050268192904554,3.36186720150544e-17,0.6222853924418604,1.0,0.440382557609872,,,,,,1.6849012738643857e-17,0.2634983069748685
21,RandomForestRegressor,calhouse,2,16512,4128,0.278863,42,0.1896842243163082,0.44000201538582334,0.2981962653273475,0.4718634624377199,0.8515731470828558,0.6941309325399321,5.0,10.0,,,,0.14945006366898195,0.1998041814668744
22,RandomForestRegressor,calhouse,2,16512,4128,8.966527000000003,42,0.031845571274559864,0.3703713496713969,0.11219675976259727,0.437362061652132,0.9750810171975641,0.742534953530654,,,,,,0.05623079441174967,0.1851950313796607
23,GradientBoostingRegressor,calhouse,2,16512,4128,2.821736,42,0.2376239148904353,0.4056321564881068,0.33462652394449005,0.4615454545170779,0.8140606052392398,0.7180232701251599,,,,,,0.16770818794103706,0.19543516099577846
24,LGBMRegressor,calhouse,2,16512,4128,177.161808,42,0.14400613330973366,0.3613252125554655,0.2576623118896926,0.44268983475665297,0.8873159998151052,0.7488234100081536,,,,,,0.1291352488091678,0.18745100461965392
25,CatBoostRegressor,calhouse,2,16512,4128,58.333886,42,0.14909144718999245,0.34870785390114023,0.26389571349443963,0.4355661929211907,0.8833367699236199,0.75759441466372,,,,,,0.13225930626736948,0.18443459512983126
26,DecisionLatticeRegressor,calhouse,2,16512,4128,96.684239,42,0.17572015929334964,0.4529286101543168,0.28207072066513866,0.4800163435771493,0.8624999504728514,0.6851449612284002,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.14136825998234434,0.20325640837642328
27,DecisionLatticeRegressor,calhouse,2,16512,4128,134.12987700000002,42,1.2318370617456411,1.1825462510616749,0.9458232444547342,0.8900415010888834,0.03609433498952441,0.17794849479617236,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.4740278821003719,0.37687599857360093
28,DecisionLatticeRegressor,calhouse,2,16512,4128,317.961527,42,0.16021179101870292,0.43552169179514266,0.2680835645122389,0.4667127036519021,0.8746351625875258,0.6972454464527813,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.13435817427485192,0.19762316253860873
29,DecisionLatticeRegressor,calhouse,2,16512,4128,325.087989,42,1.0887929035623451,1.099767596483967,0.8704887036509896,0.8323476607240539,0.14802559497624854,0.2354923900419265,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.43627170193079884,0.35244632459498315
30,DecisionTreeRegressor,calhouse,3,16512,4128,0.151132,42,7.620113516397248e-32,0.9090960244430476,3.9212819038359455e-17,0.6435026865310077,1.0,0.2251038912471247,,,,,,1.843548951785614e-17,0.3507447390479466
