,ensemble_model,ds,fold_id,ensemble_metric_n_nodes,ensemble_metric_n_edges,ensemble_metric_n_drules_active,dl_metric_n_nodes,dl_metric_n_edges,dl_metric_n_drules_active
0,DecisionTreeRegressor,calhouse,0,1543,1542,10.989583333333334,1544,1543,10.989583333333334
1,RandomForestRegressor,calhouse,0,1256,1246,69.99945494186048,1220,1245,60.994246608527135
2,GradientBoostingRegressor,calhouse,0,1268,1258,69.9999394379845,1161,1189,60.28718507751938
3,XGBRegressor,calhouse,0,1222,1212,68.98455668604652,1208,1211,60.98401162790697
4,DecisionTreeRegressor,boston,0,353,352,10.254950495049505,354,353,10.254950495049505
5,RandomForestRegressor,boston,0,884,874,69.32425742574257,809,865,57.85891089108911
6,GradientBoostingRegressor,boston,0,924,914,69.5,515,661,34.54455445544554
7,XGBRegressor,boston,0,496,486,61.37623762376238,452,475,50.20049504950495
8,DecisionTreeRegressor,diabetes,0,413,412,10.223796033994335,414,413,10.223796033994335
9,RandomForestRegressor,diabetes,0,980,970,69.32861189801699,931,971,60.31728045325779
10,GradientBoostingRegressor,diabetes,0,974,964,69.6827195467422,594,699,31.988668555240793
11,XGBRegressor,diabetes,0,808,798,65.96317280453258,761,797,56.963172804532576
