,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
0,DecisionTreeRegressor,calhouse,0,16512,4128,0.089457,25.637688,42,10,0.2126759708149504,0.6678291229732586,0.3147916110107335,0.589325864473071,0.8423959196786759,0.37834276377132525,17.48928677510654,43.295447183161336,0.21301750580776146,0.4855462213799085,0.2126759708149504,0.6678291229732586,0.3147916110107335,0.589325864473071,0.8423959196786759,0.37834276377132525,17.489286775106542,43.295447183161336,0.21301750580776146,0.4855462213799085,4.6226984193259714e-32,5.750020610707752e-32,1.0966074624590595e-16,1.222912813219619e-16,1.0,1.0,5.972237163889725e-15,6.937246360472068e-15,9.931248844248755e-17,1.1573224404888887e-16,
1,RandomForestRegressor,calhouse,0,16512,4128,0.249922,169.393849,42,4,0.5297708753082754,0.5305857965907379,0.5408867142877368,0.5783880571403378,0.6074119174627778,0.5060974603469104,32.3579077633231,55.49000432178617,0.3362018684699588,0.43278849947749426,0.5297708753082754,0.5305857965907381,0.5408867142877368,0.5783880571403379,0.6074119174627778,0.5060974603469102,32.3579077633231,55.4900043217862,0.3362018684699588,0.43278849947749437,1.7732290802694633e-31,2.9025705121549522e-31,3.2534806029289045e-16,3.600694247500387e-16,1.0,1.0,1.5985116068548298e-14,1.683846018300728e-14,1.949435101434878e-16,2.6322226058912537e-16,10
2,GradientBoostingRegressor,calhouse,0,16512,4128,0.291728,169.948551,42,,0.6530182958667159,0.6224824427429977,0.6292220533990942,0.6644235082313823,0.5160790964832531,0.42055429803114264,39.09153327809188,69.12701873685762,0.37326627947292496,0.46877177530118663,0.6530182958667159,0.6224824427429977,0.6292220533990942,0.6644235082313823,0.5160790964832531,0.42055429803114264,39.09153327809188,69.12701873685762,0.37326627947292496,0.46877177530118663,1.8267072280275648e-31,1.438027691809136e-31,3.49163527548355e-16,2.7594205989956655e-16,1.0,1.0,1.6630482273122662e-14,1.3010812750321365e-14,1.9741973150814882e-16,1.8046211159419208e-16,10
3,DecisionTreeRegressor,calhouse,1,16512,4128,0.092114,31.550006,42,10,0.19952504997848358,0.5204134837205241,0.30045121295906063,0.5016928951334133,0.8539479577998986,0.5554161331298949,18.07976367491818,26.359571434739713,0.21951379970055038,0.32741555076562007,0.19952504997848358,0.520413483720524,0.3004512129590607,0.5016928951334133,0.8539479577998986,0.555416133129895,18.079763674918176,26.359571434739713,0.21951379970055038,0.32741555076562,5.953376978164163e-32,4.0902123815042564e-32,1.3602618977371237e-16,7.872148239045138e-17,1.0,1.0,7.095959508613966e-15,2.9807313609775667e-15,1.1990707390449813e-16,9.09930753964996e-17,
4,RandomForestRegressor,calhouse,1,16512,4128,0.254067,180.203942,42,4,0.5009208844038464,0.5926351700953475,0.5247052847224615,0.5236883990150185,0.6333266516873337,0.49371789201045035,33.66309959967251,22.50754460328998,0.347814499359437,0.3493966550877013,0.5009208844038465,0.5926351700953472,0.5247052847224615,0.5236883990150183,0.6333266516873335,0.4937178920104507,33.66309959967253,22.507544603289986,0.34781449935943703,0.3493966550877012,5.274166617549191e-31,4.895385465463543e-31,6.398171183217093e-16,5.993267897467778e-16,1.0,1.0,3.525274368512954e-14,3.510547230887365e-14,3.576532198361122e-16,3.8074329685814303e-16,10
5,GradientBoostingRegressor,calhouse,1,16512,4128,0.322299,183.717368,42,,0.6458258790631634,0.6354927554668596,0.6267452467601804,0.5472086227738366,0.527256409393094,0.4571050992500405,43.463210613242005,23.996009344851238,0.39493064547464757,0.3618098069811808,0.6458258790631634,0.6354927554668595,0.6267452467601804,0.5472086227738365,0.527256409393094,0.4571050992500406,43.46321061324199,23.99600934485124,0.39493064547464757,0.36180980698118076,1.5114220453487304e-31,1.481622385123948e-31,2.949836757288933e-16,2.7459731301896433e-16,1.0,1.0,1.419359470044987e-14,1.3581715186559278e-14,1.9105393606838462e-16,1.969279999339746e-16,10
6,DecisionTreeRegressor,calhouse,2,16512,4128,0.089949,28.123158,42,10,0.21795150930433604,0.5647202807713455,0.312988820351738,0.5355749648220193,0.829454153442728,0.6074325579989504,18.6747103987259,27.088776076225546,0.23397736452400972,0.3182034727713944,0.21795150930433604,0.5647202807713455,0.31298882035173803,0.5355749648220193,0.829454153442728,0.6074325579989504,18.6747103987259,27.088776076225546,0.23397736452400972,0.3182034727713944,1.2153187143495316e-32,1.2146795370181822e-31,3.094766852345833e-17,1.9412765968373015e-16,1.0,1.0,2.0102702382236957e-15,1.0154530172244358e-14,5.525085425493897e-17,1.5298079503542067e-16,
7,RandomForestRegressor,calhouse,2,16512,4128,0.286013,188.683535,42,4,0.49187997016485735,0.584838810519655,0.5155230433046273,0.5560431454205367,0.6151066529243697,0.5934470858474485,33.56482549333638,27.813115284749735,0.3514984979092914,0.32382197352534703,0.509784755846056,0.6106885464874591,0.5348900657623858,0.5732459754171739,0.6010962574874532,0.5754775439860821,35.2627861826635,28.741432507088792,0.35783871591299377,0.33090102322473297,0.013928608673590715,0.021864857587261123,0.08495238146474564,0.10841194973858534,0.9795370231007752,0.9736850225731197,3.972244694854589,4.303182110985469,0.059317892590303914,0.06503808431403223,10
8,GradientBoostingRegressor,calhouse,2,16512,4128,0.324557,187.389429,42,,0.6198557420217476,0.7475876792531058,0.6079237402086454,0.6367823192679184,0.5149663216194035,0.4803115933519625,42.593611615438626,32.372733131810726,0.39458377077480955,0.36611649021265263,0.6198557420217476,0.7475876792531054,0.6079237402086454,0.6367823192679183,0.5149663216194035,0.4803115933519627,42.59361161543863,32.372733131810726,0.39458377077480955,0.3661164902126525,7.581893511299333e-32,3.1095557272633605e-31,1.4402239091249304e-16,3.919668207579223e-16,1.0,1.0,6.295485836783332e-15,1.5932761966455548e-14,1.3800116243598328e-16,2.5724816208816316e-16,10
9,DecisionTreeRegressor,calhouse,3,16512,4128,0.08732,30.529782,42,10,0.20338377062279608,0.7965697749791321,0.3039568501781599,0.5969400277343042,0.8497957056583236,0.32101911966929675,16.79852529354515,36.068226614099075,0.21202386941506343,0.48646624752439455,0.20338377062279606,0.7965697749791321,0.3039568501781599,0.5969400277343043,0.8497957056583236,0.32101911966929675,16.79852529354515,36.06822661409909,0.21202386941506343,0.48646624752439455,4.040328556491203e-32,3.5611041859299645e-32,1.0157881749348688e-16,8.879363652616168e-17,1.0,1.0,6.285166477905865e-15,5.813645942696986e-15,9.450068363302829e-17,9.784965081900041e-17,
