,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
0,DecisionTreeRegressor,calhouse,0,16512,4128,0.082303,24.76371,42,10,0.2126759708149504,0.6678291229732586,0.3147916110107335,0.589325864473071,0.8423959196786759,0.37834276377132525,17.48928677510654,43.295447183161336,0.21301750580776146,0.4855462213799085,0.2126759708149504,0.6678291229732586,0.3147916110107335,0.589325864473071,0.8423959196786759,0.37834276377132525,17.48928677510654,43.29544718316134,0.21301750580776146,0.4855462213799085,1.7391035425145555e-32,3.8467837943474046e-32,3.76966169304805e-17,8.775818142809801e-17,1.0,1.0,2.1227125488292165e-15,6.128040163715226e-15,6.09142362283194e-17,9.466044949232971e-17,
1,RandomForestRegressor,calhouse,0,16512,4128,0.335189,192.211092,42,6,0.3787433032649194,0.5764119456689529,0.4435515928363192,0.6092450013925629,0.7193312918229695,0.4634396064094637,26.033204719412595,55.878900438729836,0.2842683866052617,0.45109123443385846,0.37890485331163876,0.5755559930184093,0.44361008043722305,0.6086322424706806,0.7192115747414323,0.4642363808249168,26.036639327565037,55.83657192564463,0.2843290063900851,0.45075618223001584,1.627731914484165e-05,0.00023184759781968826,7.139513422531985e-05,0.000612758921883194,0.9999809445225998,0.9997380408192232,0.0020561863228187563,0.026821804120562467,0.0018667189739148336,0.0071336045639953365,10
2,GradientBoostingRegressor,calhouse,0,16512,4128,0.612959,202.950308,42,6,0.4707883885034672,0.5579753006298778,0.5296111147463677,0.6369570731692739,0.6511210424396883,0.48060159202233066,32.8678989146053,63.60809647726916,0.31693408968415937,0.4438184875733469,0.4708279595706656,0.5579875952490888,0.5296274851241878,0.6369886872690941,0.6510917181976066,0.4805901474196077,32.86880760629744,63.60920622255929,0.3169474089980405,0.44382337717082526,3.233274932166904e-06,2.5602755718801522e-06,4.4802591899953545e-05,3.260051127937272e-05,0.9999914177879048,0.999993693745297,0.0016792676596633607,0.0010404216712698864,0.0008305722193297447,0.0007518853269982752,10
3,XGBRegressor,calhouse,0,16512,4128,0.155434,217.985954,,6,0.23552001929393085,0.4305811438988498,0.33522237700439694,0.5029661971390617,0.8254672782456571,0.5991880637121323,17.889667009272987,40.823835088571855,0.22416613165526678,0.3898750157258216,0.23552001391293098,0.43064466223862946,0.3352223703252204,0.5028456351427638,0.825467282233261,0.5991289368573742,17.889666408147754,40.817730120421395,0.22416612909446976,0.38990377139806687,3.2579393396142376e-14,0.00022070993715404588,1.290470731660777e-07,0.0008430298335451535,0.9999999999999665,0.9997859876819382,6.1032548317681655e-06,0.03921875571596451,8.526724188125746e-08,0.0072190348651516014,10
4,DecisionTreeRegressor,calhouse,1,16512,4128,0.103057,30.378534,42,10,0.19952504997848358,0.5204134837205241,0.30045121295906063,0.5016928951334133,0.8539479577998986,0.5554161331298949,18.07976367491818,26.359571434739713,0.21951379970055038,0.32741555076562007,0.19952504997848358,0.5204134837205241,0.3004512129590607,0.5016928951334133,0.8539479577998986,0.5554161331298949,18.079763674918173,26.35957143473971,0.21951379970055038,0.32741555076562007,5.651088090187569e-32,9.261856821316183e-32,1.3307783223799208e-16,2.3535759904299283e-16,1.0,1.0,7.621675180353523e-15,1.1732022987806509e-14,1.1682321441309457e-16,1.369255347142441e-16,
5,RandomForestRegressor,calhouse,1,16512,4128,0.417402,223.376839,42,6,0.3609704027872778,0.46409806992765323,0.43049944350264274,0.4686086977336876,0.7357701977442914,0.6035258097843723,27.252725155861864,21.71969696774179,0.29525612125985273,0.3091931853995564,0.361134125841364,0.46425082402035267,0.43069724165105977,0.46877620985196244,0.7356503527102614,0.6033953135398726,27.26015792088219,21.725435614663382,0.29532307239135347,0.3092440654202016,2.4267218934292997e-05,6.422602465248065e-06,0.00029252114943545133,0.00018554671488524416,0.9999724473076511,0.9999913835977726,0.008454309490945621,0.004298998204075438,0.0024259955775495206,0.0012449916443238087,10
6,GradientBoostingRegressor,calhouse,1,16512,4128,0.787421,240.67794,42,6,0.4654014820992326,0.5400243910607627,0.5265915765956469,0.5336166032009547,0.6593268017681142,0.5386627374341815,36.38532195127912,25.664648389797755,0.3352563358707538,0.33352755540630824,0.46540148209923266,0.540009887795486,0.526591576595647,0.533601559562495,0.6593268017681142,0.5386751274239889,36.385321951279124,25.66364748238193,0.3352563358707538,0.33352307665389286,2.944761814657575e-31,9.34212047850672e-07,4.0610011047305115e-16,1.504363845996492e-05,1.0,0.9999966365489901,2.0653353050380612e-14,0.0007461789577968256,2.666786203166039e-16,0.00046361634453161686,10
7,XGBRegressor,calhouse,1,16512,4128,0.129849,224.167431,,6,0.2236922406657807,0.3640476331755711,0.3229494984060433,0.41679733036245953,0.8362576098736625,0.6889978650725688,18.67310516236336,19.72944525776275,0.2324280684125967,0.2738445728283119,0.223692243211688,0.36384105724301624,0.32294950162473174,0.4166997259993701,0.8362576080100621,0.6891743407592497,18.673105010209326,19.72787269771688,0.23242806973526287,0.27376686634139225,2.5748791151829184e-14,2.698924119046394e-05,1.1319034287118174e-07,0.0001273424384798826,0.9999999999999745,0.9999626341591736,5.604108977070587e-06,0.0038423420332808294,8.061420781329382e-08,0.0025002386923392013,10
8,DecisionTreeRegressor,calhouse,2,16512,4128,0.116042,32.309966,42,10,0.21795150930433604,0.5647202807713455,0.312988820351738,0.5355749648220193,0.829454153442728,0.6074325579989504,18.6747103987259,27.088776076225546,0.23397736452400972,0.3182034727713944,0.21795150930433607,0.5647202807713455,0.312988820351738,0.5355749648220193,0.829454153442728,0.6074325579989504,18.6747103987259,27.08877607622554,0.23397736452400972,0.3182034727713944,3.19794415458026e-32,3.263928716604167e-32,7.138084535596426e-17,8.410046991286008e-17,1.0,1.0,4.4411513341911475e-15,5.137270912501538e-15,8.962503580042821e-17,7.930058454579774e-17,
9,RandomForestRegressor,calhouse,2,16512,4128,0.424985,223.158408,42,6,0.3631012988153339,0.4988512276546556,0.4309719595262376,0.5035300122704957,0.7158752486268095,0.6532216797456157,27.413988910100585,24.991533773369767,0.30200059988888395,0.299070616075324,0.38019595827217173,0.522907727951963,0.4529272871598281,0.5209989552452583,0.7024987724648402,0.6364987124522997,29.185811864350185,25.85594234076681,0.30902787271081844,0.3061968741239763,0.013936395319354053,0.022040617646766215,0.08496340367566879,0.10862629788664413,0.9821270375571248,0.9746488494978534,4.074103428361958,4.3908202258670075,0.05929648663333867,0.06630485935964464,10
